name;stadium;snomed_code;snomed_display;value_snomed_code;value_snomed_display
AJCC;IVC;897275008;"American Joint Committee on Cancer, Cancer Staging Manual, 8th edition neoplasm staging system (tumor staging)";1222842006;American Joint Committee on Cancer stage IVC (qualifier value)
AJCC;IVB;897275008;"American Joint Committee on Cancer, Cancer Staging Manual, 8th edition neoplasm staging system (tumor staging)";1222841004;American Joint Committee on Cancer stage IVB (qualifier value)
AJCC;IVA;897275008;"American Joint Committee on Cancer, Cancer Staging Manual, 8th edition neoplasm staging system (tumor staging)";1222838008;American Joint Committee on Cancer stage IVA (qualifier value)
AJCC;IV;897275008;"American Joint Committee on Cancer, Cancer Staging Manual, 8th edition neoplasm staging system (tumor staging)";1222837003;American Joint Committee on Cancer stage IV (qualifier value)
AJCC;IIID;897275008;"American Joint Committee on Cancer, Cancer Staging Manual, 8th edition neoplasm staging system (tumor staging)";1222811001;American Joint Committee on Cancer stage IIID (qualifier value)
AJCC;IIIC;897275008;"American Joint Committee on Cancer, Cancer Staging Manual, 8th edition neoplasm staging system (tumor staging)";1222806003;American Joint Committee on Cancer stage IIIC (qualifier value)
AJCC;IIIB;897275008;"American Joint Committee on Cancer, Cancer Staging Manual, 8th edition neoplasm staging system (tumor staging)";1222805004;American Joint Committee on Cancer stage IIIB (qualifier value)
AJCC;IIIA;897275008;"American Joint Committee on Cancer, Cancer Staging Manual, 8th edition neoplasm staging system (tumor staging)";1222802001;American Joint Committee on Cancer stage IIIA (qualifier value)
AJCC;III;897275008;"American Joint Committee on Cancer, Cancer Staging Manual, 8th edition neoplasm staging system (tumor staging)";1222801008;American Joint Committee on Cancer stage III (qualifier value)
AJCC;IIC;897275008;"American Joint Committee on Cancer, Cancer Staging Manual, 8th edition neoplasm staging system (tumor staging)";1222770000;American Joint Committee on Cancer stage IIC (qualifier value)
AJCC;IIB;897275008;"American Joint Committee on Cancer, Cancer Staging Manual, 8th edition neoplasm staging system (tumor staging)";1222769001;American Joint Committee on Cancer stage IIB (qualifier value)
AJCC;IIA;897275008;"American Joint Committee on Cancer, Cancer Staging Manual, 8th edition neoplasm staging system (tumor staging)";1222766008;American Joint Committee on Cancer stage IIA (qualifier value)
AJCC;II;897275008;"American Joint Committee on Cancer, Cancer Staging Manual, 8th edition neoplasm staging system (tumor staging)";1222765007;American Joint Committee on Cancer stage II (qualifier value)
